Rule	Period	dx	dy	dz	Iterations
RLRLDDDURL	27542380	1456	0	0	119989573
LUULDLLLUL	21239812	624	0	0	101138950
LRLUULLURL	12675116	664	0	0	56623698
LLURUUULUL	12585924	276	276	276	121500226
UDUDRURLUL	11256772	425	251	8	71570019
DURRLRDUUL	6541302	386	386	386	44638038
LULDULULUL	5157284	168	0	0	120259861
DUDULLLRLL	5032248	300	300	300	52534682
UDULLULRRL	4548288	118	118	118	85450277
LLDLDUL	4494202	193	193	0	126492172
LRLDDDRRLL	4209726	150	150	0	66859462
ULLURLLUL	4122096	176	0	0	125566551
DULLRLDDRL	4030066	245	245	0	130597387
DLLLDLDLUL	4024850	228	228	0	53312662
UDLULDLULL	3957846	146	146	146	64144650
LDLLLLLULL	3662522	126	126	0	70573916
UDULLUULLL	3328980	236	236	236	37098769
LLRLURUL	3119820	200	0	0	78653919
LLDUDDDLUL	2958584	198	0	0	42068680
RLRLUULRUL	2905674	311	311	0	37327106
ULULUDLUUL	2895580	158	0	0	55299460
RLUUDULLRL	2667810	202	202	0	39252935
RLUUDURRUL	2361796	416	0	0	94446833
RLRUUUULLL	2338012	232	0	0	27829073
LRUUDUULUL	2274336	268	0	0	58909056
LLLDLDLLUL	2246590	82	62	30	66426484
RLRUUULUUL	2226460	424	0	0	16438054
LRLUUUUL	2163840	240	240	240	48496906
RLRDDLLLUL	1921738	157	157	0	30633214
DUDUULULLL	1891524	224	0	0	23184445
DUDLLLULL	1879404	106	106	106	93140776
UUUDLLLULL	1873356	128	128	128	36045166
ULLLRUUULL	1838028	296	0	0	18225043
RLRLURULLL	1792700	156	141	15	29732061
LLUULLRUUL	1742142	66	66	66	74026837
UURRUUURUL	1698702	70	70	70	68254748
LRLUUDDUUL	1601642	105	105	0	37674043
RLRLLDLUUL	1496468	548	0	0	11452042
LDDLLLULLL	1491454	61	61	0	61316404
LRLUUULRLL	1421628	66	66	66	48731397
DUDUURLLUL	1393748	420	0	0	11218128
DDRDDRDRL	1345566	56	56	56	124777424
UDULLDRUL	1344188	80	0	0	91284845
LULUDUULUL	1336794	96	96	96	68150400
LRURUUDUUL	1194572	164	0	0	46841442
LRLRRDLDUL	1181716	272	0	0	13280557
UDURRRDRUL	1150870	133	133	0	23285373
DUDURRDULL	1087208	314	0	0	12228995
RLRRLUURLL	1046556	134	134	134	25562262
LRLUURUUUL	1038180	94	94	94	31626960
LUULDLUULL	1012172	124	0	0	21511560
LUULDUUUUL	1004502	134	134	134	19807416
